mass,v_y,Eloss,Dmax,dT
1.000000000000000082e-05,-1.000000000000000056e-01,7.584779645923149190e-11,8.683589597594089875e-06,1.627635117150890440e-08
5.004999999999999900e-03,-1.000000000000000056e-01,2.421729064762442873e-03,3.673327979577479998e-04,1.038330366955980862e-03
1.000000000000000021e-02,-1.000000000000000056e-01,1.249732205759661405e-03,4.894548221463750201e-04,2.681828767724595409e-04
1.000000000000000082e-05,-1.000050000000000068e+03,1.058273084414462772e-02,1.690239212469172025e-01,2.270972284151207443e+00
5.004999999999999900e-03,-1.000050000000000068e+03,1.630723552411491517e+06,3.755062141163080902e+00,6.991821707955099409e+05
1.000000000000000021e-02,-1.000050000000000068e+03,9.685636466256446438e+05,4.976316538587269633e+00,2.078462760999237362e+05
1.000000000000000082e-05,-2.000000000000000000e+03,4.232755535621635090e-02,3.380390887740026273e-01,9.083166385454152447e+00
5.004999999999999900e-03,-2.000000000000000000e+03,6.521874822369992733e+06,7.509770997540504922e+00,2.796291614981581923e+06
1.000000000000000021e-02,-2.000000000000000000e+03,3.872512027804487385e+06,9.952217783417065533e+00,8.310111647649114020e+05
